concept	dendrogram: 6; wordnet: 6	dendrogram: 6; wordnet: 7	dendrogram: 6; wordnet: 8	dendrogram: 7; wordnet: 6	dendrogram: 7; wordnet: 7	dendrogram: 7; wordnet: 8	dendrogram: 8; wordnet: 6	dendrogram: 8; wordnet: 7	dendrogram: 8; wordnet: 8	dendrogram: 0.7; wordnet: 6	dendrogram: 0.7; wordnet: 7	dendrogram: 0.7; wordnet: 8	dendrogram: 0.8; wordnet: 6	dendrogram: 0.8; wordnet: 7	dendrogram: 0.8; wordnet: 8	dendrogram: 0.9; wordnet: 6	dendrogram: 0.9; wordnet: 7	dendrogram: 0.9; wordnet: 8
shotgun	0.3761467889908257	0.10091743119266056	0.0779816513761468	0.42105263157894735	0.11578947368421053	0.08947368421052632	0.456	0.168	0.136	0.875	0.875	0.75	0.8571428571428571	0.7857142857142857	0.7142857142857143	0.8125	0.75	0.625
bottle	0.22935779816513763	0.05504587155963303	0.0	0.14736842105263157	0.06315789473684211	0.0	0.176	0.08	0.0	n/a	n/a	n/a	0.5	0.5	0.0	0.6	0.4	0.0
rocker	0.6513761467889908	0.13761467889908258	0.01834862385321101	0.6263157894736842	0.15263157894736842	0.021052631578947368	0.546875	0.203125	0.046875	n/a	n/a	n/a	0.6666666666666666	0.4	0.06666666666666667	0.5294117647058824	0.35294117647058826	0.08823529411764706
rocket	0.5458715596330275	0.1926605504587156	0.013761467889908258	0.48947368421052634	0.08947368421052632	0.005263157894736842	0.496	0.072	0.008	n/a	n/a	n/a	0.0	0.0	0.0	0.3888888888888889	0.1111111111111111	0.0
camel	0.9904761904761905	0.8666666666666667	0.8666666666666667	1.0	0.9636363636363636	0.9636363636363636	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.0	0.9636363636363636	0.9636363636363636
armour	0.045871559633027525	0.009174311926605505	0.0	0.042105263157894736	0.010526315789473684	0.0	0.056	0.016	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.09615384615384616	0.038461538461538464	0.0
nylons	0.6382978723404256	0.6382978723404256	0.06382978723404255	0.7631578947368421	0.7631578947368421	0.05263157894736842	0.9333333333333333	0.9333333333333333	0.06666666666666667	n/a	n/a	n/a	1.0	1.0	0.0625	0.9629629629629629	0.9629629629629629	0.07407407407407407
cape	0.6382978723404256	0.6382978723404256	0.48936170212765956	0.7631578947368421	0.7631578947368421	0.5789473684210527	0.9333333333333333	0.9333333333333333	0.7333333333333333	1.0	1.0	1.0	1.0	1.0	0.8125	0.9629629629629629	0.9629629629629629	0.7407407407407407
elk	0.9904761904761905	0.8666666666666667	0.8666666666666667	1.0	0.9636363636363636	0.9636363636363636	1.0	0.9629629629629629	0.9629629629629629	1.0	1.0	1.0	1.0	0.9629629629629629	0.9629629629629629	1.0	0.9636363636363636	0.9636363636363636
panther	0.9904761904761905	0.8666666666666667	0.8666666666666667	1.0	0.9636363636363636	0.9636363636363636	1.0	0.9629629629629629	0.9629629629629629	1.0	1.0	1.0	1.0	0.9629629629629629	0.9629629629629629	1.0	0.9636363636363636	0.9636363636363636
cherry	0.6702127659574468	0.6276595744680851	0.3617021276595745	0.6436781609195402	0.6206896551724138	0.3333333333333333	0.9090909090909091	0.8909090909090909	0.4727272727272727	1.0	1.0	0.9583333333333334	1.0	1.0	0.92	0.9090909090909091	0.8909090909090909	0.4727272727272727
bench	0.045871559633027525	0.045871559633027525	0.022935779816513763	0.05263157894736842	0.05263157894736842	0.02631578947368421	0.140625	0.140625	0.078125	0.2727272727272727	0.2727272727272727	0.18181818181818182	0.26666666666666666	0.26666666666666666	0.2	0.2647058823529412	0.2647058823529412	0.14705882352941177
thimble	0.26146788990825687	0.0	0.0	0.18421052631578946	0.0	0.0	0.224	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.1346153846153846	0.0	0.0
grapefruit	0.6276595744680851	0.6276595744680851	0.3617021276595745	0.6206896551724138	0.6206896551724138	0.3333333333333333	0.8909090909090909	0.8909090909090909	0.4727272727272727	1.0	1.0	0.9583333333333334	1.0	1.0	0.92	0.8909090909090909	0.8909090909090909	0.4727272727272727
raven	0.9904761904761905	0.8666666666666667	0.8666666666666667	0.9795918367346939	0.7551020408163265	0.7551020408163265	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9795918367346939	0.7551020408163265	0.7551020408163265
budgie	0.9904761904761905	0.8666666666666667	0.8666666666666667	0.9795918367346939	0.7551020408163265	0.7551020408163265	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9795918367346939	0.7551020408163265	0.7551020408163265
ruler	0.42660550458715596	0.10091743119266056	0.009174311926605505	0.47368421052631576	0.11578947368421053	0.010526315789473684	0.375	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	0.23529411764705882	0.0	0.0
vulture	0.9904761904761905	0.8666666666666667	0.8666666666666667	0.9795918367346939	0.7551020408163265	0.7551020408163265	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9795918367346939	0.7551020408163265	0.7551020408163265
fridge	0.045871559633027525	0.027522935779816515	0.027522935779816515	0.05263157894736842	0.031578947368421054	0.031578947368421054	0.015625	0.015625	0.015625	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.029411764705882353	0.029411764705882353	0.029411764705882353
gopher	0.9904761904761905	0.8666666666666667	0.8666666666666667	1.0	0.9636363636363636	0.9636363636363636	1.0	0.9629629629629629	0.9629629629629629	1.0	1.0	1.0	1.0	0.9629629629629629	0.9629629629629629	1.0	0.9636363636363636	0.9636363636363636
clam	0.26595744680851063	0.07446808510638298	0.031914893617021274	0.28735632183908044	0.08045977011494253	0.034482758620689655	0.7096774193548387	0.1935483870967742	0.0967741935483871	1.0	1.0	0.0	1.0	0.29411764705882354	0.11764705882352941	0.7096774193548387	0.1935483870967742	0.0967741935483871
cedar	0.6170212765957447	0.5957446808510638	0.2553191489361702	1.0	0.6666666666666666	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
desk	0.045871559633027525	0.045871559633027525	0.013761467889908258	0.05263157894736842	0.05263157894736842	0.015789473684210527	0.140625	0.140625	0.046875	0.2727272727272727	0.2727272727272727	0.18181818181818182	0.26666666666666666	0.26666666666666666	0.13333333333333333	0.2647058823529412	0.2647058823529412	0.08823529411764706
falcon	0.9904761904761905	0.8666666666666667	0.8666666666666667	0.9795918367346939	0.7551020408163265	0.7551020408163265	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9795918367346939	0.7551020408163265	0.7551020408163265
pier	0.38073394495412843	0.03211009174311927	0.0	0.4263157894736842	0.03684210526315789	0.0	0.34375	0.046875	0.0	n/a	n/a	n/a	0.2	0.06666666666666667	0.0	0.17647058823529413	0.058823529411764705	0.0
flamingo	0.9904761904761905	0.8666666666666667	0.8666666666666667	0.9795918367346939	0.7551020408163265	0.7551020408163265	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9795918367346939	0.7551020408163265	0.7551020408163265
sofa	1.0	1.0	1.0	n/a	n/a	n/a	n/a	n/a	n/a	1.0	1.0	1.0	0.6	0.6	0.4	0.6	0.6	0.4
bracelet	0.01834862385321101	0.01834862385321101	0.0	0.021052631578947368	0.021052631578947368	0.0	0.032	0.032	0.0	0.5	0.5	0.0	0.3333333333333333	0.3333333333333333	0.0	0.3333333333333333	0.3333333333333333	0.0
garage	0.04128440366972477	0.0045871559633027525	0.0	0.04736842105263158	0.005263157894736842	0.0	0.125	0.015625	0.0	0.2222222222222222	0.1111111111111111	0.0	0.15384615384615385	0.07692307692307693	0.0	0.08823529411764706	0.029411764705882353	0.0
sleigh	0.1743119266055046	0.1651376146788991	0.0045871559633027525	0.07368421052631578	0.06842105263157895	0.005263157894736842	0.09375	0.09375	0.015625	0.5	0.5	0.5	0.5	0.5	0.5	0.029411764705882353	0.029411764705882353	0.029411764705882353
walrus	0.9904761904761905	0.8666666666666667	0.8666666666666667	1.0	0.9636363636363636	0.9636363636363636	1.0	0.9629629629629629	0.9629629629629629	1.0	1.0	1.0	1.0	0.9629629629629629	0.9629629629629629	1.0	0.9636363636363636	0.9636363636363636
shed	0.03669724770642202	0.0045871559633027525	0.0	0.042105263157894736	0.005263157894736842	0.0	0.125	0.015625	0.0	0.2222222222222222	0.1111111111111111	0.0	0.15384615384615385	0.07692307692307693	0.0	0.08823529411764706	0.029411764705882353	0.0
doll	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0
crown	0.45871559633027525	0.03211009174311927	0.009174311926605505	0.5157894736842106	0.03684210526315789	0.010526315789473684	0.576	0.056	0.016	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0
lobster	0.26595744680851063	0.07446808510638298	0.031914893617021274	0.28735632183908044	0.08045977011494253	0.034482758620689655	0.7096774193548387	0.1935483870967742	0.06451612903225806	1.0	1.0	0.6666666666666666	1.0	0.29411764705882354	0.11764705882352941	0.7096774193548387	0.1935483870967742	0.06451612903225806
mirror	0.3761467889908257	0.0	0.0	0.42105263157894735	0.0	0.0	0.456	0.0	0.0	n/a	n/a	n/a	0.0	0.0	0.0	0.2	0.0	0.0
trombone	0.3761467889908257	0.08256880733944955	0.045871559633027525	0.42105263157894735	0.09473684210526316	0.05263157894736842	0.34375	0.234375	0.125	1.0	1.0	0.5333333333333333	1.0	1.0	0.5333333333333333	0.9375	0.9375	0.5
candle	0.25	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
saucer	0.42660550458715596	0.12844036697247707	0.009174311926605505	0.4789473684210526	0.14210526315789473	0.010526315789473684	0.528	0.176	0.016	1.0	1.0	0.6666666666666666	0.8571428571428571	0.5714285714285714	0.2857142857142857	0.5	0.2777777777777778	0.1111111111111111
eel	0.26595744680851063	0.18085106382978725	0.18085106382978725	0.28735632183908044	0.19540229885057472	0.19540229885057472	0.7096774193548387	0.4838709677419355	0.4838709677419355	1.0	0.8461538461538461	0.8461538461538461	1.0	0.6470588235294118	0.6470588235294118	0.7096774193548387	0.4838709677419355	0.4838709677419355
kettle	0.6926605504587156	0.16055045871559634	0.045871559633027525	0.6736842105263158	0.18421052631578946	0.05263157894736842	0.792	0.144	0.064	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.5454545454545454	0.45454545454545453	0.45454545454545453	0.5454545454545454	0.45454545454545453	0.45454545454545453
fox	0.9904761904761905	0.8857142857142857	0.8761904761904762	1.0	0.9818181818181818	0.9818181818181818	1.0	0.9814814814814815	0.9814814814814815	1.0	1.0	1.0	1.0	0.9814814814814815	0.9814814814814815	1.0	0.9818181818181818	0.9818181818181818
