has_types	0.02824
	0.29483	hind
	0.29315	iguana
	0.29190	ferret
	0.29187	pelvis
	0.29165	genital
	0.29106	toe
	0.28989	kitten
	0.28914	deformities
	0.28813	metatarsal
	0.28691	toes
	0.28670	ankle
	0.28574	spasms
	0.28544	palsy
	0.28287	vertebrae
	0.28132	orangutan
	0.28083	fibula
	0.28043	chimps
	0.27655	quadriceps
	0.27485	atrophy
	0.27477	hyperextended
	0.27436	tendon
	0.27302	herpes
	0.27262	reptile
	0.27250	kneecap
	0.27181	calf
	0.27161	reflexes
	0.27156	sprained
	0.27016	parrots
made_of_string	0.08571
	0.41434	rope
	0.38782	ropes
	0.32882	bikini
	0.31820	thong
	0.29279	mop
	0.29169	braided
	0.28660	bracelets
	0.28377	necklace
	0.27890	roped
	0.27889	whip
	0.27814	whips
	0.27752	choker
	0.27744	bracelet
	0.27591	bondage
	0.27398	braid
	0.27183	straps
	0.27051	braids
	0.26901	necklaces
	0.26305	panties
	0.26244	bikinis
	0.26214	knotted
	0.26048	knot
	0.25987	strap
	0.25939	thongs
	0.25679	sarong
	0.25502	tent
	0.25130	ponytail
	0.25093	nylon
	0.25044	earrings
	0.24793	ring
	0.24701	hoop
	0.24638	clasp
	0.24426	leash
	0.24383	bra
	0.24131	tarp
	0.24082	untie
	0.24064	panty
	0.23870	handcuff
	0.23777	spandex
	0.23671	weave
	0.23578	headband
	0.23557	lashing
	0.23539	halter
	0.23507	tarps
	0.23329	strand
	0.23277	glamour
	0.23256	swimsuit
	0.23133	dangle
	0.23046	clothesline
	0.23038	tents
is_necessary_essential	0.08696
	0.32400	bra
	0.31125	bras
	0.29988	arm
	0.28526	toilet
	0.26938	helmet
	0.25850	bathroom
	0.24801	restroom
	0.24627	underwear
	0.24451	toilets
	0.23680	conditioning
	0.23233	washroom
	0.22868	helmets
	0.22672	coffee
	0.22017	hygiene
	0.21678	comfortable
	0.21338	toiletries
	0.21070	access
	0.20793	seat
	0.20744	desk
	0.20648	gym
	0.20586	facilities
	0.19880	assistance
	0.19859	laundry
	0.19676	front
	0.19659	comfort
	0.19635	incontinence
	0.19623	undergarments
	0.19572	visor
	0.19382	panties
	0.19085	supportive
	0.18951	coverage
	0.18943	wearing
	0.18878	workout
	0.18819	room
	0.18805	shower
	0.18798	uncomfortable
	0.18670	parking
	0.18601	vending
	0.18531	panty
	0.18505	knee
	0.18313	breastfeeding
	0.18158	ironing
	0.18142	armrest
	0.18076	texting
	0.18071	urinals
	0.18042	fit
	0.18024	initiative
	0.17983	rooms
	0.17961	ventilation
	0.17942	chest
is_American	0.09150
	0.41177	sweater
	0.37165	sweaters
	0.36215	jeans
	0.35386	cardigan
	0.34116	blazer
	0.33334	tees
	0.33064	turtleneck
	0.33031	cardigans
	0.31777	pullover
	0.31433	hoodie
	0.31430	shirt
	0.31291	pants
	0.31006	knit
	0.30877	denim
	0.30300	tee
	0.30111	sweatshirt
	0.29807	shirts
	0.29424	cap
	0.28317	vest
	0.28019	blouse
	0.27750	sleeveless
	0.27749	leggings
	0.27723	shorts
	0.27386	jacket
	0.27265	sweatpants
	0.27172	shotgun
	0.27150	khakis
	0.26819	baggy
	0.26786	overalls
	0.26605	plaid
	0.25902	turtlenecks
	0.25878	hats
	0.25696	banjo
	0.25640	chinos
	0.25620	blazers
	0.25540	slacks
	0.25538	hat
	0.25292	blouses
	0.24536	caps
	0.24420	sweatshirts
	0.24186	sleeves
	0.24114	juniors
	0.23916	trousers
	0.23743	outfits
	0.23639	dress
	0.23306	outfit
	0.23299	throwback
	0.23029	cropped
	0.23010	sleeved
	0.22839	wore
has_species	0.09929
	0.37826	species
	0.37815	endangered
	0.37169	mammals
	0.36844	jellyfish
	0.36683	whales
	0.34800	creatures
	0.34769	spiders
	0.34676	amphibians
	0.33963	insects
	0.33748	beetles
	0.33698	turtles
	0.33307	predators
	0.33095	habitat
	0.33094	fauna
	0.32994	sharks
	0.32585	habitats
	0.32233	invertebrates
	0.31773	beetle
	0.31518	crustaceans
	0.31503	mammal
	0.31231	crocodiles
	0.31075	biodiversity
	0.30963	animals
	0.30953	wildlife
	0.30913	manatees
	0.30903	elephants
	0.30430	humpback
	0.30392	whale
	0.30150	dinosaurs
	0.30062	otters
	0.29914	rhinoceros
	0.29786	aquatic
	0.29753	pandas
	0.29707	populations
	0.29551	spider
